"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Partner-Executive","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24634","","","12/9/2015 3:06:06 PM","8/18/2025 4:58:01 PM","CN=Partner-Executive,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Partner-Executive"
"IC-PC-TEMP","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24632","","All external Consultants (Internal, Project, and Temps)","12/9/2015 3:05:40 PM","11/7/2025 4:25:21 PM","CN=IC-PC-TEMP,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IC-PC-TEMP"
"PROJECTS-Drive","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18472","S-1-5-21-507921405-1202660629-1343024091-8844","Group used to grant access to Network Shares","10/3/2013 7:11:48 PM","5/8/2025 4:51:18 PM","CN=PROJECTS-Drive,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/PROJECTS-Drive"
"RM","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24626","","","12/9/2015 3:04:14 PM","5/8/2025 4:51:18 PM","CN=RM,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/RM"
"SageSoftware","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18475","S-1-5-21-507921405-1202660629-1343024091-8653","Group used to grant access to Network Shares","10/3/2013 7:11:49 PM","5/13/2021 2:40:20 PM","CN=SageSoftware,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/SageSoftware"
"HR","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24619","","","12/9/2015 3:01:49 PM","3/6/2025 5:24:40 PM","CN=HR,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/HR"
"VDI_Local_Admins","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-24438","","","1/12/2015 6:17:31 PM","12/2/2023 6:11:38 PM","CN=VDI_Local_Admins,OU=Solomon Edwards VDIs,DC=solomonedwards,DC=com","solomonedwards.com/Solomon Edwards VDIs/VDI_Local_Admins"
"C-Suite","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-24633","","","12/9/2015 3:05:49 PM","9/25/2024 2:52:22 PM","CN=C-Suite,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/C-Suite"
"L-Drive","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18456","S-1-5-21-507921405-1202660629-1343024091-8658","Group used to grant access to Network Shares","10/3/2013 7:11:45 PM","5/8/2025 4:51:18 PM","CN=L-Drive,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/L-Drive"
"C2C Invoices","0","Distribution","Universal","","S-1-5-21-1191714633-765097213-697575874-18471","S-1-5-21-507921405-1202660629-1343024091-3236","","10/3/2013 7:11:48 PM","9/25/2024 2:52:22 PM","CN=C2C Invoices,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/C2C Invoices"
"TeamShare","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18484","S-1-5-21-507921405-1202660629-1343024091-8654","Group used to grant access to Network Shares","10/3/2013 7:11:51 PM","5/8/2025 4:51:18 PM","CN=TeamShare,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/TeamShare"
"SEG - TAM","","Distribution","Universal","Tim Walsh","S-1-5-21-1191714633-765097213-697575874-24549","","","6/9/2015 4:08:43 PM","11/6/2025 8:42:12 PM","CN=SEG - TAM,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - TAM"
"BC","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24618","","","12/9/2015 2:59:37 PM","7/9/2025 3:38:33 PM","CN=BC,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/BC"
"Front Desk Support","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18442","S-1-5-21-507921405-1202660629-1343024091-6254","Manages the front desk","10/3/2013 7:11:42 PM","5/8/2025 4:51:18 PM","CN=Front Desk Support,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Front Desk Support"
"IRC","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24620","","","12/9/2015 3:02:04 PM","5/13/2021 2:40:23 PM","CN=IRC,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IRC"
"IT-Dept Share","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18453","S-1-5-21-507921405-1202660629-1343024091-8655","Group used to grant access to Network Shares","10/3/2013 7:11:44 PM","5/13/2021 2:40:57 PM","CN=IT-Dept Share,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/IT-Dept Share"
"Sales-BDM","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24629","","","12/9/2015 3:04:50 PM","12/3/2024 4:41:15 PM","CN=Sales-BDM,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Sales-BDM"
"M2IT","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-21459","","","9/29/2014 3:10:01 PM","5/13/2021 2:40:20 PM","CN=M2IT,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/M2IT"
"SEG - Website Inquiries","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-3375","","","6/8/2005 8:33:06 PM","3/14/2024 3:43:00 PM","CN=SEG - Website Inquiries,OU=Marketing,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/Corporate Services/Marketing/SEG - Website Inquiries"
"SEG - SF BU FTEs","","Distribution","Universal","Zdravko V. Markov","S-1-5-21-1191714633-765097213-697575874-24504","","","3/3/2015 6:44:26 PM","9/29/2025 5:23:10 PM","CN=SEG - SF BU FTEs,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/SEG - SF BU FTEs"
"Sales","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24627","","","12/9/2015 3:04:24 PM","2/13/2025 4:01:55 PM","CN=Sales,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Sales"
"WageWorks-Collabrus","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18490","S-1-5-21-507921405-1202660629-1343024091-8649","Group used to grant access to Network Shares","10/3/2013 7:11:53 PM","5/13/2021 2:40:20 PM","CN=WageWorks-Collabrus,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/WageWorks-Collabrus"
"SEG - Directors","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-26608","","","3/9/2016 2:37:05 PM","5/23/2025 4:41:20 PM","CN=SEG - Directors,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - Directors"
"Barbara Fette","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18404","S-1-5-21-507921405-1202660629-1343024091-8917","Group used to grant access to Network Shares","10/3/2013 7:11:33 PM","5/13/2021 2:40:20 PM","CN=Barbara Fette,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Barbara Fette"
"Sales-BDA","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24628","","","12/9/2015 3:04:37 PM","2/13/2025 4:01:55 PM","CN=Sales-BDA,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Sales-BDA"
"Admin","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24617","","","12/9/2015 2:59:01 PM","9/19/2025 6:42:35 PM","CN=Admin,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Admin"
"M Squared All","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18457","S-1-5-21-507921405-1202660629-1343024091-1170","All domain users","10/3/2013 7:11:45 PM","5/8/2025 4:51:18 PM","CN=M Squared All,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/M Squared All"
"SEG - QUAD Interim","","Distribution","Universal","","S-1-5-21-1191714633-765097213-697575874-24550","","","6/9/2015 4:52:07 PM","11/4/2025 3:19:21 PM","CN=SEG - QUAD Interim,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - QUAD Interim"
"SEG - Competency Team Room","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-10364","","","12/6/2010 2:44:56 PM","7/9/2025 3:38:33 PM","CN=SEG - Competency Team Room,OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Sharepoint Groups/SEG - Competency Team Room"
"IT-Business Analyst","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24624","","","12/9/2015 3:03:19 PM","5/13/2021 2:40:23 PM","CN=IT-Business Analyst,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IT-Business Analyst"
"WEB-SERVER Browsers","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18493","S-1-5-21-507921405-1202660629-1343024091-1041","WEB-SERVER Browsers - Members can read documents in Webs","10/3/2013 7:11:53 PM","5/13/2021 2:40:20 PM","CN=WEB-SERVER Browsers,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/WEB-SERVER Browsers"
"IT-Helpdesk","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24625","","","12/9/2015 3:03:34 PM","3/10/2025 1:37:09 PM","CN=IT-Helpdesk,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IT-Helpdesk"
"WEB-SERVER Authors","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18492","S-1-5-21-507921405-1202660629-1343024091-1040","WEB-SERVER Authors - Members can create and modify folders and files in Webs","10/3/2013 7:11:53 PM","5/13/2021 2:40:20 PM","CN=WEB-SERVER Authors,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/WEB-SERVER Authors"
"IT-Executive-Mgr","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24622","","","12/9/2015 3:02:39 PM","12/2/2023 6:11:38 PM","CN=IT-Executive-Mgr,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IT-Executive-Mgr"
"Cisco Cons Status Reports","","Distribution","Universal","Administrator","S-1-5-21-1191714633-765097213-697575874-24543","","","5/28/2015 10:00:27 PM","7/31/2025 4:37:41 PM","CN=Cisco Cons Status Reports,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Cisco Cons Status Reports"
"WEB-SERVER Admins","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18491","S-1-5-21-507921405-1202660629-1343024091-1039","WEB-SERVER Admins - Members can create and manage Webs","10/3/2013 7:11:53 PM","5/13/2021 2:40:20 PM","CN=WEB-SERVER Admins,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/WEB-SERVER Admins"
"IT-Admin","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-24623","","","12/9/2015 3:02:55 PM","5/13/2021 2:40:57 PM","CN=IT-Admin,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IT-Admin"
"SMSMSE Viewers","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-18480","S-1-5-21-507921405-1202660629-1343024091-3232","","10/3/2013 7:11:50 PM","5/13/2021 2:40:20 PM","CN=SMSMSE Viewers,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/SMSMSE Viewers"
"Motiva","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-26675","","","7/13/2016 4:31:33 AM","5/13/2021 2:40:23 PM","CN=Motiva,OU=motiva,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/motiva/Motiva"
"SMSMSE Admins","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-18479","S-1-5-21-507921405-1202660629-1343024091-3231","","10/3/2013 7:11:50 PM","5/13/2021 2:40:20 PM","CN=SMSMSE Admins,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/SMSMSE Admins"
"NE Bank of GA LoShare","0","Security","Global","","S-1-5-21-1191714633-765097213-697575874-18110","","Uses Quarterly to get into reports, don't delete","1/6/2014 9:44:54 PM","5/13/2021 2:40:23 PM","CN=NE Bank of GA LoShare,OU=NE Bank of GA LoShare (Don't Delete Alonso uses qrtly),OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/NE Bank of GA LoShare (Don't Delete Alonso uses qrtly)/NE Bank of GA LoShare"
"M-Drive","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18462","S-1-5-21-507921405-1202660629-1343024091-8656","Group used to grant access to Network Shares","10/3/2013 7:11:46 PM","5/13/2021 2:40:20 PM","CN=M-Drive,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/M-Drive"
"Core","0","Security","Global","","S-1-5-21-1191714633-765097213-697575874-19931","","","11/15/2013 5:14:25 PM","5/13/2021 2:40:23 PM","CN=Core,OU=Core,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Allowed Vendors/Core/Core"
"Intel","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-24638","","","12/11/2015 4:22:52 PM","5/13/2021 2:40:23 PM","CN=Intel,OU=Intel,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/Intel/Intel"
"Human Resources","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-18448","S-1-5-21-507921405-1202660629-1343024091-6201","Human Resources security group","10/3/2013 7:11:43 PM","5/13/2021 2:40:20 PM","CN=Human Resources,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Human Resources"
"OrbitalATK","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-27476","","","11/11/2016 4:12:18 PM","5/13/2021 2:40:23 PM","CN=OrbitalATK,OU=OrbitalATK,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/OrbitalATK/OrbitalATK"
"SEG - All Project Consultants","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7634","","","2/6/2007 6:25:07 PM","1/30/2025 4:08:56 PM","CN=SEG - All Project Consultants,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - All Project Consultants"
"SEG - Principals","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-8169","","","5/19/2008 7:13:00 PM","6/20/2025 4:02:16 PM","CN=SEG - Principals,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - Principals"
"CERTSVC_DCOM_ACCESS","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18410","S-1-5-21-507921405-1202660629-1343024091-6210","","10/3/2013 7:11:34 PM","5/13/2021 2:40:26 PM","CN=CERTSVC_DCOM_ACCESS,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/CERTSVC_DCOM_ACCESS"
"SignatureNY","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-26761","","","11/22/2016 5:22:25 PM","5/13/2021 2:40:24 PM","CN=SignatureNY,OU=SignatureNY,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/SignatureNY/SignatureNY"
"SEG - Philadelphia Perm","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-3055","","","9/29/2003 7:23:04 PM","11/4/2025 3:19:21 PM","CN=SEG - Philadelphia Perm,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - Philadelphia Perm"
"SEG - Philadelphia Project Consultants","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-3315","","Contractors","3/17/2005 3:08:46 PM","11/7/2025 1:40:39 AM","CN=SEG - Philadelphia Project Consultants,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - Philadelphia Project Consultants"
"Developer","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-21759","","","5/6/2015 11:33:45 PM","5/13/2021 2:40:23 PM","CN=Developer,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Allowed Vendors/Developer"
"Project Consultants with Laptops","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-26746","","All current Project Consultants with laptops.","10/24/2016 8:07:14 PM","12/2/2021 5:58:28 PM","CN=Project Consultants with Laptops,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Project Consultants with Laptops"
"FIN-Exec Share","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18440","S-1-5-21-507921405-1202660629-1343024091-8696","","10/3/2013 7:11:41 PM","5/13/2021 2:40:26 PM","CN=FIN-Exec Share,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/FIN-Exec Share"
"Fin-HR","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18441","S-1-5-21-507921405-1202660629-1343024091-8651","Group used to grant access to Network Shares","10/3/2013 7:11:41 PM","5/13/2021 2:40:26 PM","CN=Fin-HR,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Fin-HR"
"RFI","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-26822","","","4/6/2017 8:22:58 PM","5/13/2021 2:40:26 PM","CN=RFI,OU=RFI,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/RFI/RFI"
"ICTSI","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-28040","","","5/23/2017 2:05:16 PM","5/13/2021 2:40:26 PM","CN=ICTSI,OU=ICTSI,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/ICTSI/ICTSI"
"KPMG","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-27679","","","6/8/2017 4:04:11 PM","5/13/2021 2:40:26 PM","CN=KPMG,OU=KPMG,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/KPMG/KPMG"
"Magna5","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-27685","","","6/12/2017 2:33:18 PM","5/13/2021 2:40:26 PM","CN=Magna5,OU=Magna5,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/Magna5/Magna5"
"CBANK","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-28106","","","6/16/2017 3:45:21 PM","5/13/2021 2:40:26 PM","CN=CBANK,OU=CBANK,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/CBANK/CBANK"
"Netwrix Auditor Client Users","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-28033","","Members of this group are allowed to access the audit data collected by Netwrix Auditor.","4/4/2017 9:23:13 PM","5/13/2021 2:40:33 PM","CN=Netwrix Auditor Client Users,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Netwrix Auditor Client Users"
"Netwrix Auditor Administrators","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-28032","","Members of this group are allowed to set up and modify all Netwrix Auditor configuration settings and access the audit data.","4/4/2017 9:23:12 PM","5/13/2021 2:40:33 PM","CN=Netwrix Auditor Administrators,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Netwrix Auditor Administrators"
"Exchange Recovery Administrators","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-7792","","","10/18/2007 1:09:53 PM","5/13/2021 2:40:33 PM","CN=Exchange Recovery Administrators,OU=Groups,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/Corporate Services/I.T. Services/Groups/Exchange Recovery Administrators"
